Full Name,Political Party,Party Short,Twitter,Notes,Image_Adress
Recep Tayyip Erdoğan,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/RTErdogan,Genel Başkan,../../images/partiler/akp.png
Binali Yıldırım,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/BY,Genel Başkan Vekili,../../images/partiler/akp.png
Numan Kurtulmuş,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/NumanKurtulmus,Genel Başkan Vekili,../../images/partiler/akp.png
Hayati Yazıcı,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/Hayati_Yazici,Siyasi ve Hukuki İşler Başkanı,../../images/partiler/akp.png
Erkan Kandemir,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/erkankandemir,Teşkilat İşleri Başkanı,../../images/partiler/akp.png
Ali İhsan Yavuz,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aliihsanyavuz54,Seçim İşleri Başkanı,../../images/partiler/akp.png
Hamza Dağ,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/avhamzadag,Tanıtım ve Medya Başkanlığı,../../images/partiler/akp.png
Efkan Ala,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/efkanala,Dışişleri Politikaları Başkanı,../../images/partiler/akp.png
Julide Sarıeroğlu,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/jsarieroglu,Sosyal Politikalar Başkanı,../../images/partiler/akp.png
Mehmet Özhaseki,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mehmetozhaseki,Yerel Yönetimler Başkanı,../../images/partiler/akp.png
Nurettin Canikli,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/nurettincanikli,Ekonomi İşleri Başkanı,../../images/partiler/akp.png
Özlem Zengin,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/AvOzlemZengin,Sivil Toplum ve Halkla İlişkiler Başkanı,../../images/partiler/akp.png
Leyla Şahin Usta,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/leylasahinusta,İnsan Hakları Başkanı,../../images/partiler/akp.png
Vedat Demiröz,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/vedatdemiroz,Mali ve İdari İşler Bakanı,../../images/partiler/akp.png
"Çiğdem Karaaslan,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/CK_Samsun,""Çevre, Şehir ve Kültür Başkanı""",,,,,../../images/partiler/undefined.jpg
"Mustafa Şen,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/mustafasenbd,""Araştırma, Geliştirme ve Eğitim Başkanı""",,,,,../../images/partiler/undefined.jpg
Ömer İleri,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/DrOmerileri,Bilgi ve İletişim Teknolojileri Başkanı,../../images/partiler/akp.png
Ömer Çelik,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/omerrcelik,Parti Sözcüsü,../../images/partiler/akp.png
Fatih Şahin,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/_fatihsahin,Genel Sekreter,../../images/partiler/akp.png
Ayşe Keşir,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/aysekesir,Kadın Kolları Başkanı,../../images/partiler/akp.png
Eyyüp Kadir İnan,Adalet ve Kalkınma Partisi,AKP,https://twitter.com/eyupkadirinan,Gençlik Kolları Başkanı,../../images/partiler/akp.png
Kemal Kılıçdaroğlu,Cumhuriyet Halk Partisi,CHP,https://twitter.com/kilicdarogluk,Genel Başkan,../../images/partiler/chp.png
"Ahmet Akın,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ahmetakin,""Enerji, Alt Yapı Projeleri Başkanı""",,,,,../../images/partiler/undefined.jpg
Ali Öztunç,Cumhuriyet Halk Partisi,CHP,https://twitter.com/ali_oztunc,Doğa Hakları - Çevre Başkanı,../../images/partiler/chp.png
Bülent Kuşoğlu,Cumhuriyet Halk Partisi,CHP,https://twitter.com/bkusoglu,İdari ve Mali İşler Başkanı,../../images/partiler/chp.png
Bülent Tezcan,Cumhuriyet Halk Partisi,CHP,https://twitter.com/bulenttezcanchp,Yurt Dışı Örgütlenme Başkanı,../../images/partiler/chp.png
Faik Öztrak,Cumhuriyet Halk Partisi,CHP,https://twitter.com/faikoztrak,Ekonomi Politikaları ve İşveren Örgütleri Başkanı - Parti Sözcüsü,../../images/partiler/chp.png
"Fethi Açıkel,Cumhuriyet Halk Partisi,CHP,https://twitter.com/FethiAcikel,""Bilim, Yönetim ve Kültür Platformu Başkanı""",,,,,../../images/partiler/undefined.jpg
Gamze Akkuş İlgezdi,Cumhuriyet Halk Partisi,CHP,https://twitter.com/gamzeilgezdi,Tanıtım ve Halkla İlişkiler Başkanı,../../images/partiler/chp.png
Gökçe Gökçen,Cumhuriyet Halk Partisi,CHP,https://twitter.com/GokceGokcen_,Gençlik Politikaları Başkanı,../../images/partiler/chp.png
Gülizar Biçer Karaca,Cumhuriyet Halk Partisi,CHP,https://twitter.com/GulizarBicer,İnsan Hakları Başkanı,../../images/partiler/chp.png
Lale Karabıyık,Cumhuriyet Halk Partisi,CHP,https://twitter.com/lalekarabiyik,Eğitim Politikaları Başkanı,../../images/partiler/chp.png
Muharrem Erkek,Cumhuriyet Halk Partisi,CHP,https://twitter.com/muharremerkek17,Hukuk ve Seçim İşleri Başkanı,../../images/partiler/chp.png
Oğuz Kaan Salıcı,Cumhuriyet Halk Partisi,CHP,https://twitter.com/oguzksalici,Parti Örgütü ve Parti Yönetimi Başkanı,../../images/partiler/chp.png
Onursal Adıgüzel,Cumhuriyet Halk Partisi,CHP,https://twitter.com/onursaladiguzel,Bilgi ve İletişimTeknolojileri Başkanı,../../images/partiler/chp.png
Selin Sayek Böke,Cumhuriyet Halk Partisi,CHP,https://twitter.com/selinsayekboke,Genel Sekreter,../../images/partiler/chp.png
Seyit Torun,Cumhuriyet Halk Partisi,CHP,https://twitter.com/seyit_torun,Yerel Yönetimler Başkanı,../../images/partiler/chp.png
"Veli Ağbaba,Cumhuriyet Halk Partisi,CHP,https://twitter.com/veliagbaba,""İşçi Sendikaları, Esnaf, Sanatkâr ve Sivil Toplum Kuruluşları Başkanı""",,,,,../../images/partiler/undefined.jpg
Yüksel Taşkın,Cumhuriyet Halk Partisi,CHP,https://twitter.com/yukseltaskinn,Sosyal Politikalar Başkanı,../../images/partiler/chp.png
Ali Babacan,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/alibabacan,Genel Başkan,../../images/partiler/deva.png
Birol Aydemir,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/birolaydemir15,Sektörel Politikalar Başkanı,../../images/partiler/deva.png
Yasemin Bilgel,Demokrasi ve Atılım Partisi,DEVA,https://twitter.com/yaseminbilgel1,Dışişleri ve Güvenlik Politikaları Başkanı,../../images/partiler/deva.png
